index  PLAYER	2022/23 	2022/23(*)
488.	Kevon Harris	$508,891	$524,000
488.	EJ Liddell	$508,891	$524,000
488.	Luka Garza	$508,891	$524,000
488.	AJ Green	$508,891	$524,000
488.	Jamal Cain	$508,891	$524,000
488.	Vince Williams Jr	$508,891	$524,000
488.	Cole Swider	$508,891	$524,000
488.	Scottie Pippen Jr	$508,891	$524,000
488.	Moussa Diabate	$508,891	$524,000
488.	Kendall Brown	$508,891	$524,000
488.	Trevor Hudgins	$508,891	$524,000
488.	Darius Days	$508,891	$524,000
488.	Buddy Boeheim	$508,891	$524,000
488.	Collin Gillespie	$508,891	$524,000
488.	Jack White	$508,891	$524,000
488.	McKinley Wright	$508,891	$524,000
488.	Isaiah Mobley	$508,891	$524,000
488.	Mamadi Diakite	$508,891	$524,000
488.	Malcolm Hill	$508,891	$524,000
488.	JD Davison	$508,891	$524,000
488.	Mfiondu Kabengele	$508,891	$524,000
488.	Trent Forrest	$508,891	$524,000
518.	John Butler	$503,041	$517,977
519.	Chima Moneke	$500,000	$514,845
520.	Facundo Campazzo	$464,299	$478,084
521.	Orlando Robinson	$386,055	$397,517
522.	Dru Smith	$374,357	$385,472
523.	AJ Lawson	$371,432	$382,460
524.	Louis King	$307,089	$316,207
524.	Jared Rhoden	$307,089	$316,207
526.	Robert Woodard	$300,000	$308,907
527.	Didi Louzada	$268,032	$275,990
528.	Jarrett Culver	$260,295	$268,023
529.	Olivier Sarr	$257,371	$265,012
530.	Alondes Williams	$254,446	$262,000
531.	DJ Wilson	$250,000	$257,422
532.	Donovan Williams	$239,822	$246,942
533.	Quenton Jackson	$219,630	$226,150
534.	Chris Silva	$211,045	$217,311
535.	Braxton Key	$201,802	$207,793
535.	Tyler Dorsey	$201,802	$207,793
537.	Jordan Hall	$193,027	$198,758
538.	Alize Johnson	$192,293	$198,002
539.	Kostas Antetokounmpo	$172,555	$177,678
540.	Devon Dotson	$169,630	$174,666
541.	Mac McClung	$160,856	$165,632
542.	Willie Cauley-Stein	$155,738	$160,362
543.	Nate Darling	$152,082	$156,597
544.	Xavier Cooks	$140,384	$144,552
544.	Keaton Wallace	$140,384	$144,552
546.	Shaquille Harrison	$134,862	$138,866
547.	Feron Hunt	$131,610	$135,517
548.	Lester Quinones	$129,405	$133,247
549.	Troy Williams	$122,741	$126,385
550.	Jay Huff	$116,986	$120,459
550.	Jamaree Bouyea	$116,986	$120,458
550.	Xavier Moon	$116,986	$120,459
553.	Skylar Mays	$116,574	$120,035
554.	Frank Jackson	$113,114	$116,472
